Date,Product_Category,Revenue_EGP,Units_Sold,Price_Per_Unit,Is_Open,Is_White_Friday,Is_Weekend,Is_Thursday,Ramadan_Phase,Is_Ramadan,Is_Eid_Fitr,Is_Eid_Adha,Is_Coptic_Christmas,Is_Payday,Is_Payday_Early,Is_Payday_Late,Is_Summer,Is_Winter,Is_School_Season,Year,Month,Day,DayOfWeek,WeekOfYear
2026-01-14,Bakery,3625.555995773905,103,35,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,14,2,3
2026-01-14,Dairy,6024.568557244739,100,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,14,2,3
2026-01-14,Beverages,4052.950720751164,162,25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,14,2,3
2026-01-14,Fresh_Produce,5498.351302619476,274,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,14,2,3
2026-01-14,Frozen_Foods,3932.679166794951,87,45,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,14,2,3
2026-01-14,Snacks,4997.570237400871,333,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,14,2,3
2026-01-14,Household,5211.055105418121,104,50,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,14,2,3
2026-01-14,Personal_Care,3786.5003318908425,54,70,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,14,2,3
2026-01-13,Bakery,3528.0522141230354,100,35,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,13,1,3
2026-01-13,Dairy,5199.964117697236,86,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,13,1,3
2026-01-13,Beverages,3581.9903647461692,143,25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,13,1,3
2026-01-13,Fresh_Produce,5538.949487294072,276,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,13,1,3
2026-01-13,Frozen_Foods,3814.6590215436077,84,45,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,13,1,3
2026-01-13,Snacks,4993.854006583601,332,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,13,1,3
2026-01-13,Household,5716.144766634981,114,50,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,13,1,3
2026-01-13,Personal_Care,4287.923352972263,61,70,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,13,1,3
2026-01-12,Bakery,3104.445223571947,88,35,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,12,0,3
2026-01-12,Dairy,5791.248296887742,96,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,12,0,3
2026-01-12,Beverages,3964.792836368153,158,25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,12,0,3
2026-01-12,Fresh_Produce,4066.651546197544,203,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,12,0,3
2026-01-12,Frozen_Foods,3457.8336688672202,76,45,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,12,0,3
2026-01-12,Snacks,3872.9020636959604,258,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,12,0,3
2026-01-12,Household,5838.4486011097015,116,50,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,12,0,3
2026-01-12,Personal_Care,3318.202636512196,47,70,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,12,0,3
2026-01-11,Bakery,3326.676781025628,95,35,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,11,6,2
2026-01-11,Dairy,6316.262000503519,105,60,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,11,6,2
2026-01-11,Beverages,3465.715469561712,138,25,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,11,6,2
2026-01-11,Fresh_Produce,5531.0842910554675,276,20,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,11,6,2
2026-01-11,Frozen_Foods,3554.9543799999233,78,45,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,11,6,2
2026-01-11,Snacks,4973.747492568663,331,15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,11,6,2
2026-01-11,Household,5899.345923119062,117,50,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,11,6,2
2026-01-11,Personal_Care,4584.305020852757,65,70,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,11,6,2
2026-01-10,Bakery,4020.969170837542,114,35,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,10,5,2
2026-01-10,Dairy,8029.339552665819,133,60,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,10,5,2
2026-01-10,Beverages,6517.352316371611,260,25,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,10,5,2
2026-01-10,Fresh_Produce,7499.092839378961,374,20,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,10,5,2
2026-01-10,Frozen_Foods,4772.8211439364295,106,45,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,10,5,2
2026-01-10,Snacks,6313.020542714171,420,15,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,10,5,2
2026-01-10,Household,7317.9761053508455,146,50,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,10,5,2
2026-01-10,Personal_Care,4699.678837955694,67,70,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,10,5,2
2026-01-08,Bakery,2612.6592339021327,74,35,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026,1,8,3,2
2026-01-08,Dairy,5985.789824481169,99,60,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026,1,8,3,2
2026-01-08,Beverages,3547.7385108098397,141,25,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026,1,8,3,2
2026-01-08,Fresh_Produce,4095.8764231831337,204,20,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026,1,8,3,2
2026-01-08,Frozen_Foods,2763.093734129592,61,45,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026,1,8,3,2
2026-01-08,Snacks,3737.130757766217,249,15,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026,1,8,3,2
2026-01-08,Household,5592.458087029805,111,50,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026,1,8,3,2
2026-01-08,Personal_Care,3355.4903302636667,47,70,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2026,1,8,3,2
2026-01-07,Bakery,2354.8550413097146,67,35,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,1,7,2,2
2026-01-07,Dairy,4709.095646570315,78,60,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,1,7,2,2
2026-01-07,Beverages,2827.0630932293034,113,25,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,1,7,2,2
2026-01-07,Fresh_Produce,3679.715193001926,183,20,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,1,7,2,2
2026-01-07,Frozen_Foods,2873.7207487050605,63,45,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,1,7,2,2
2026-01-07,Snacks,3111.929159716105,207,15,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,1,7,2,2
2026-01-07,Household,3956.9141797600514,79,50,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,1,7,2,2
2026-01-07,Personal_Care,2565.1472893460686,36,70,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2026,1,7,2,2
2026-01-06,Bakery,2682.329105145978,76,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,6,1,2
2026-01-06,Dairy,4008.226968876135,66,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,6,1,2
2026-01-06,Beverages,2750.882202412735,110,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,6,1,2
2026-01-06,Fresh_Produce,3667.812738900436,183,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,6,1,2
2026-01-06,Frozen_Foods,2421.155722564819,53,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,6,1,2
2026-01-06,Snacks,3814.1606685705683,254,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,6,1,2
2026-01-06,Household,4237.134217006985,84,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,6,1,2
2026-01-06,Personal_Care,2982.768004986299,42,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2026,1,6,1,2
2026-01-05,Bakery,2189.97119261,62,35,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,5,0,2
2026-01-05,Dairy,4555.209282797875,75,60,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,5,0,2
2026-01-05,Beverages,2617.2313692792695,104,25,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,5,0,2
2026-01-05,Fresh_Produce,3005.1358967295955,150,20,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,5,0,2
2026-01-05,Frozen_Foods,2489.5942267311725,55,45,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,5,0,2
2026-01-05,Snacks,3147.2277439693526,209,15,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,5,0,2
2026-01-05,Household,3614.3040990151067,72,50,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,5,0,2
2026-01-05,Personal_Care,2963.7180608877343,42,70,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,5,0,2
2026-01-04,Bakery,2558.9409689385607,73,35,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,4,6,1
2026-01-04,Dairy,3752.1544834375277,62,60,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,4,6,1
2026-01-04,Beverages,2454.862787672732,98,25,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,4,6,1
2026-01-04,Fresh_Produce,3726.932819641897,186,20,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,4,6,1
2026-01-04,Frozen_Foods,2856.3444592065534,63,45,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,4,6,1
2026-01-04,Snacks,3497.7240150893886,233,15,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,4,6,1
2026-01-04,Household,4029.0281034894074,80,50,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,4,6,1
2026-01-04,Personal_Care,2462.0056610668275,35,70,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,4,6,1
2026-01-03,Bakery,3653.324001573575,104,35,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,3,5,1
2026-01-03,Dairy,5623.233886090186,93,60,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,3,5,1
2026-01-03,Beverages,3735.7121563196606,149,25,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,3,5,1
2026-01-03,Fresh_Produce,5907.882327936752,295,20,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,3,5,1
2026-01-03,Frozen_Foods,2830.2994329020917,62,45,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,3,5,1
2026-01-03,Snacks,5622.970747070631,374,15,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,3,5,1
2026-01-03,Household,4291.752966603828,85,50,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,3,5,1
2026-01-03,Personal_Care,3689.949523350142,52,70,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2026,1,3,5,1
2026-01-01,Bakery,2683.020640646509,76,35,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2026,1,1,3,1
2026-01-01,Dairy,5423.23280666585,90,60,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2026,1,1,3,1
2026-01-01,Beverages,3801.117298791334,152,25,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2026,1,1,3,1
2026-01-01,Fresh_Produce,4397.532081097863,219,20,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2026,1,1,3,1
2026-01-01,Frozen_Foods,2709.5052120529726,60,45,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2026,1,1,3,1
2026-01-01,Snacks,3515.5047632142687,234,15,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2026,1,1,3,1
2026-01-01,Household,5203.296283920389,104,50,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2026,1,1,3,1
2026-01-01,Personal_Care,3403.887738341737,48,70,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2026,1,1,3,1
2025-12-31,Bakery,3334.3011088402695,95,35,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,31,2,1
2025-12-31,Dairy,4987.875437522054,83,60,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,31,2,1
2025-12-31,Beverages,3668.4326731242018,146,25,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,31,2,1
2025-12-31,Fresh_Produce,4820.161760774865,241,20,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,31,2,1
2025-12-31,Frozen_Foods,3861.003518822772,85,45,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,31,2,1
2025-12-31,Snacks,4411.837909539331,294,15,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,31,2,1
2025-12-31,Household,5138.570656962316,102,50,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,31,2,1
2025-12-31,Personal_Care,3892.1762208156506,55,70,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,31,2,1
2025-12-30,Bakery,2779.98011279791,79,35,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,30,1,1
2025-12-30,Dairy,5234.644975112763,87,60,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,30,1,1
2025-12-30,Beverages,3113.2569042647024,124,25,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,30,1,1
2025-12-30,Fresh_Produce,4153.950040200801,207,20,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,30,1,1
2025-12-30,Frozen_Foods,3526.63109909519,78,45,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,30,1,1
2025-12-30,Snacks,3514.8602831673265,234,15,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,30,1,1
2025-12-30,Household,5643.483601808874,112,50,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,30,1,1
2025-12-30,Personal_Care,3556.080166147823,50,70,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,30,1,1
2025-12-29,Bakery,2784.589850355098,79,35,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,29,0,1
2025-12-29,Dairy,5256.53952209649,87,60,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,29,0,1
2025-12-29,Beverages,4072.0632392221105,162,25,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,29,0,1
2025-12-29,Fresh_Produce,4908.293440731583,245,20,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,29,0,1
2025-12-29,Frozen_Foods,3297.8529197243474,73,45,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,29,0,1
2025-12-29,Snacks,4751.534416196694,316,15,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,29,0,1
2025-12-29,Household,4859.933181036153,97,50,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,29,0,1
2025-12-29,Personal_Care,3960.2517959997313,56,70,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,29,0,1
2025-12-28,Bakery,3208.562403630331,91,35,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,28,6,52
2025-12-28,Dairy,6541.35220832923,109,60,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,28,6,52
2025-12-28,Beverages,4324.010778106397,172,25,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,28,6,52
2025-12-28,Fresh_Produce,5049.394925712528,252,20,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,28,6,52
2025-12-28,Frozen_Foods,3177.9436128419147,70,45,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,28,6,52
2025-12-28,Snacks,4540.2863496005875,302,15,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,28,6,52
2025-12-28,Household,5428.049508465946,108,50,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,28,6,52
2025-12-28,Personal_Care,4507.354336804098,64,70,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,28,6,52
2025-12-27,Bakery,4217.769554470111,120,35,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,27,5,52
2025-12-27,Dairy,7246.9645544566865,120,60,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,27,5,52
2025-12-27,Beverages,5119.707896610176,204,25,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,27,5,52
2025-12-27,Fresh_Produce,5567.958237675598,278,20,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,27,5,52
2025-12-27,Frozen_Foods,3562.8466045362593,79,45,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,27,5,52
2025-12-27,Snacks,6619.237231848316,441,15,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,27,5,52
2025-12-27,Household,5362.776263269441,107,50,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,27,5,52
2025-12-27,Personal_Care,3819.7881269330874,54,70,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,2025,12,27,5,52
2025-12-25,Bakery,2323.563829625349,66,35,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2025,12,25,3,52
2025-12-25,Dairy,4371.964065996531,72,60,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2025,12,25,3,52
2025-12-25,Beverages,2791.2589661901275,111,25,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2025,12,25,3,52
2025-12-25,Fresh_Produce,2905.5540494948873,145,20,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2025,12,25,3,52
2025-12-25,Frozen_Foods,2551.725845017852,56,45,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2025,12,25,3,52
2025-12-25,Snacks,3289.8642053838735,219,15,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2025,12,25,3,52
2025-12-25,Household,3569.339692158721,71,50,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2025,12,25,3,52
2025-12-25,Personal_Care,2961.2607761300496,42,70,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2025,12,25,3,52
2025-12-24,Bakery,2678.704715632272,76,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,24,2,52
2025-12-24,Dairy,4831.752045679667,80,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,24,2,52
2025-12-24,Beverages,2754.8526960450067,110,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,24,2,52
2025-12-24,Fresh_Produce,3512.645951558333,175,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,24,2,52
2025-12-24,Frozen_Foods,3069.5045605039763,68,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,24,2,52
2025-12-24,Snacks,3014.654246943797,200,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,24,2,52
2025-12-24,Household,4285.693129448681,85,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,24,2,52
2025-12-24,Personal_Care,3362.096924736164,48,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,24,2,52
2025-12-23,Bakery,2500.985004244764,71,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,23,1,52
2025-12-23,Dairy,4221.271817200629,70,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,23,1,52
2025-12-23,Beverages,3096.6314363758283,123,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,23,1,52
2025-12-23,Fresh_Produce,3194.326368730166,159,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,23,1,52
2025-12-23,Frozen_Foods,2896.0176219920327,64,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,23,1,52
2025-12-23,Snacks,3819.648010209202,254,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,23,1,52
2025-12-23,Household,4887.926827261898,97,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,23,1,52
2025-12-23,Personal_Care,3362.101377709994,48,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,23,1,52
2025-12-22,Bakery,2196.9349264598227,62,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,22,0,52
2025-12-22,Dairy,3966.193685539036,66,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,22,0,52
2025-12-22,Beverages,3084.4788310050635,123,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,22,0,52
2025-12-22,Fresh_Produce,3803.758922218277,190,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,22,0,52
2025-12-22,Frozen_Foods,2672.2171690026034,59,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,22,0,52
2025-12-22,Snacks,2860.1898337368534,190,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,22,0,52
2025-12-22,Household,4654.367790325921,93,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,22,0,52
2025-12-22,Personal_Care,3231.776880303155,46,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,22,0,52
2025-12-21,Bakery,2577.9789388341924,73,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,21,6,51
2025-12-21,Dairy,4318.420881747283,71,60,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,21,6,51
2025-12-21,Beverages,2794.1506070565174,111,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,21,6,51
2025-12-21,Fresh_Produce,3834.5200803467073,191,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,21,6,51
2025-12-21,Frozen_Foods,2877.2318204402627,63,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,21,6,51
2025-12-21,Snacks,3593.250715947801,239,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,21,6,51
2025-12-21,Household,3498.2189076755376,69,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,21,6,51
2025-12-21,Personal_Care,2932.322123292176,41,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,21,6,51
2025-12-20,Bakery,2806.693625016143,80,35,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2025,12,20,5,51
